ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00156708;Leo;Sauer;Sauer;Leo Sauer;VfB Stuttgart;FORWARD;2200000;0;0.0
pl-k00156895;Andrija;Maksimovic;Maksimovic;Andrija Maksimovic;RB Leipzig;MIDFIELDER;1400000;16;0.0
pl-k00156899;Lazar;Jovanovic;Jovanovic;Lazar Jovanovic;VfB Stuttgart;MIDFIELDER;1000000;6;3.5
pl-k00158528;Florian;Pruhs;Pruhs;Florian Pruhs;SC Paderborn 07;GOALKEEPER;500000;0;0.0
pl-k00158699;Johannes;Siebeking;Siebeking;Johannes Siebeking;FC Schalke 04;GOALKEEPER;500000;0;0.0
pl-k00158733;Oluwaseun;Ogbemudia;Ogbemudia;Oluwaseun Ogbemudia;1. FC Union Berlin;DEFENDER;500000;0;0.0
pl-k00158782;Christian;Gomis;Gomis;Christian Gomis;FC Schalke 04;FORWARD;800000;0;0.0
pl-k00158876;Salim;Musah;Musah;Salim Musah;Werder Bremen;FORWARD;1400000;17;4.0
pl-k00158911;Fernando;Dickes;Dickes;Fernando Dickes;Hamburger SV;GOALKEEPER;500000;0;0.0
pl-k00159341;Andrik;Markgraf;Markgraf;Andrik Markgraf;1. FC Union Berlin;DEFENDER;500000;0;0.0
pl-k00159344;Julien;Friedrich;J. Friedrich;Julien Friedrich;1. FC Union Berlin;FORWARD;500000;0;0.0
pl-k00159360;Cajetan;Lenz;Lenz;Cajetan Lenz;TSG Hoffenheim;MIDFIELDER;1600000;0;0.0
pl-k00159587;Clemens;Lippmann;Lippmann;Clemens Lippmann;SC Paderborn 07;DEFENDER;800000;0;0.0
pl-k00159629;Said;El Mala;S. El Mala;Said El Mala;1. FC Köln;MIDFIELDER;4200000;222;3.13
pl-k00159630;Malek;El Mala;M. El Mala;Malek El Mala;1. FC Köln;FORWARD;500000;0;0.0
pl-k00160199;Jeremy;Arevalo;Arevalo;Jeremy Arevalo;VfB Stuttgart;FORWARD;1400000;16;0.0
pl-k00160972;Natnael;Abraha;Abraha;Natnael Abraha;TSG Hoffenheim;DEFENDER;800000;0;0.0
pl-k00160976;Ebu Bekir;Is;Is;Ebu Bekir Is;Eintracht Frankfurt;MIDFIELDER;500000;0;0.0
pl-k00161192;Mick;Schmetgens;Schmetgens;Mick Schmetgens;Werder Bremen;DEFENDER;500000;4;3.5
pl-k00161193;Wael;Mohya;Mohya;Wael Mohya;Bor. Mönchengladbach;MIDFIELDER;1800000;50;3.55
pl-k00161356;Ivan;San José Cantalejo;Chuki;Chuki;Werder Bremen;MIDFIELDER;2000000;0;0.0
pl-k00162291;Keita;Kosugi;Kosugi;Keita Kosugi;Eintracht Frankfurt;DEFENDER;1600000;0;0.0
pl-k00162632;David;Fürst;Fürst;David Fürst;1. FC Köln;DEFENDER;500000;0;0.0
pl-k00163262;Maik;Afri Akumu;Afri Akumu;Maik Afri Akumu;1. FC Köln;FORWARD;500000;0;0.0
pl-k00164900;Konstantinos;Karetsas;Karetsas;Konstantinos Karetsas;Borussia Dortmund;MIDFIELDER;2600000;0;0.0
pl-k00164910;Luis;Engelns;Engelns;Luis Engelns;TSG Hoffenheim;MIDFIELDER;1000000;0;0.0
pl-k00165253;Kristiyan;Irmiev;Irmiev;Kristiyan Irmiev;1. FC Köln;MIDFIELDER;500000;0;0.0
pl-k00165263;David;Santos;Santos;David Santos;Bayern München;MIDFIELDER;800000;4;0.0
pl-k00165729;Zento;Uno;Uno;Zento Uno;Bor. Mönchengladbach;MIDFIELDER;1400000;0;0.0
pl-k00165899;Ayodele;Thomas;Thomas;Ayodele Thomas;RB Leipzig;FORWARD;800000;0;0.0
pl-k00165908;Jahmai;Simpson-Pusey;Simpson-Pusey;Jahmai Simpson-Pusey;1. FC Köln;DEFENDER;2200000;48;3.2
pl-k00165957;Joyeux;Masanka Bungi;Masanka Bungi;Joyeux Masanka Bungi;RB Leipzig;DEFENDER;500000;0;0.0
pl-k00166190;Tim;Schnitzer;Schnitzer;Tim Schnitzer;FC Augsburg;MIDFIELDER;500000;2;0.0
pl-k00167174;Justin;Lerma;Lerma;Justin Lerma;Borussia Dortmund;MIDFIELDER;1400000;0;0.0
pl-k00167335;Hugo;Bolin;Bolin;Hugo Bolin;Bor. Mönchengladbach;MIDFIELDER;1600000;40;3.61
pl-k00167392;Mekhi;Gray;Gray;Mekhi Gray;1. FC Union Berlin;FORWARD;500000;0;0.0
pl-k00167552;Amil;Siljevic;Siljevic;Amil Siljevic;Eintracht Frankfurt;GOALKEEPER;500000;0;0.0
pl-k00167636;Jan-Luca;Riedl;Riedl;Jan-Luca Riedl;Borussia Dortmund;DEFENDER;500000;0;0.0
pl-k00167638;Mussa;Kaba;Kaba;Mussa Kaba;Borussia Dortmund;MIDFIELDER;1000000;0;0.0
pl-k00167640;Luca;Reggiani;Reggiani;Luca Reggiani;Borussia Dortmund;DEFENDER;1400000;31;3.57
pl-k00167652;Viggo;Gebel;Gebel;Viggo Gebel;RB Leipzig;MIDFIELDER;500000;0;0.0
pl-k00167677;Marvin;Dills;Dills;Marvin Dills;Eintracht Frankfurt;MIDFIELDER;500000;0;0.0
pl-k00167749;Kacper;Potulski;Potulski;Kacper Potulski;1. FSV Mainz 05;DEFENDER;1600000;61;3.38
pl-k00167851;Abdoul;Koné;Koné;Abdoul Koné;RB Leipzig;DEFENDER;1700000;0;0.0
pl-k00167928;Alexander;Rössing-Lelesiit;Rössing-Lelesiit;Alexander Rössing-Lelesiit;Hamburger SV;MIDFIELDER;1000000;15;4.5
pl-k00168200;Patrice;Covic;Covic;Patrice Covic;Werder Bremen;MIDFIELDER;1000000;22;4.3
pl-k00168213;Aleksa;Damjanovic;Damjanovic;Aleksa Damjanovic;Bayer 04 Leverkusen;FORWARD;500000;0;0.0
pl-k00168347;Jan;Leszczynski;Leszczynski;Jan Leszczynski;Bor. Mönchengladbach;DEFENDER;1200000;0;0.0
pl-k00168485;Kennet;Eichhorn;Eichhorn;Kennet Eichhorn;Bayer 04 Leverkusen;MIDFIELDER;1800000;0;0.0
pl-k00168490;Cassiano;Kiala;Kiala;Cassiano Kiala;Bayern München;DEFENDER;600000;2;0.0
pl-k00169162;Samuele;Inacio;Inacio;Samuele Inacio;Borussia Dortmund;FORWARD;1800000;27;3.4
pl-k00169471;Jose Maria;Andres Baixauli;Chema;Chema;VfB Stuttgart;MIDFIELDER;2400000;118;3.09
pl-k00169680;Nathan;De Cat;De Cat;Nathan De Cat;TSG Hoffenheim;MIDFIELDER;2200000;0;0.0
pl-k00169805;Luca;Vozar;Vozar;Luca Vozar;FC Schalke 04;MIDFIELDER;500000;0;0.0
pl-k00169821;Elias;Etringer;Etringer;Elias Etringer;SV Elversberg;GOALKEEPER;500000;0;0.0
pl-k00169838;Rouven;Tarnutzer;Tarnutzer;Rouven Tarnutzer;SC Freiburg;MIDFIELDER;500000;2;0.0
pl-k00169871;Mirza;Catovic;Catovic;Mirza Catovic;VfB Stuttgart;MIDFIELDER;800000;0;0.0
pl-k00169900;Iaia Manco;Danfa;Danfa;Iaia Manco Danfa;Bor. Mönchengladbach;FORWARD;500000;0;0.0
pl-k00169915;Stefan;Smarkalev;Smarkalev;Stefan Smarkalev;Werder Bremen;GOALKEEPER;500000;0;0.0
pl-k00169921;Luca;Höcker;Höcker;Luca Höcker;Werder Bremen;DEFENDER;500000;0;0.0
pl-k00169925;Paul;Erevbenagie;Erevbenagie;Paul Erevbenagie;Werder Bremen;FORWARD;600000;0;0.0
pl-k00170514;Darwin;Soylu;Soylu;Darwin Soylu;Werder Bremen;MIDFIELDER;500000;0;0.0
pl-k00170561;Mikolaj;Marutzki;Marutzki;Mikolaj Marutzki;1. FC Köln;GOALKEEPER;500000;0;0.0
pl-k00170727;Tom;Wisbereit;Wisbereit;Tom Wisbereit;FC Augsburg;GOALKEEPER;500000;0;0.0
pl-k00170751;Rael;Nakuzola;Nakuzola;Rael Nakuzola;1. FSV Mainz 05;DEFENDER;700000;0;0.0
pl-k00170963;Shafiq;Nandja;Nandja;Shafiq Nandja;Hamburger SV;DEFENDER;500000;4;0.0
pl-k00171304;Jason;Bissi-Mouelle;Bissi-Mouelle;Jason Bissi-Mouelle;Hamburger SV;DEFENDER;600000;0;0.0
pl-k00171306;Louis;Lemke;Lemke;Louis Lemke;Hamburger SV;DEFENDER;800000;2;0.0
pl-k00171716;Ertugrul;Yigit;Yigit;Ertugrul Yigit;VfB Stuttgart;MIDFIELDER;500000;0;0.0
pl-k00171930;Cyriaque;Irié;Irié;Cyriaque Irié;SC Freiburg;FORWARD;1500000;28;3.5
pl-k00172514;Patrik;Kristal;Kristal;Patrik Kristal;1. FC Köln;MIDFIELDER;700000;0;0.0
pl-k00172907;Reigan;Heskey;Heskey;Reigan Heskey;1. FC Köln;MIDFIELDER;1400000;0;0.0
pl-k00173186;Dylan;Leonard;Leonard;Dylan Leonard;FC Schalke 04;DEFENDER;500000;0;0.0
pl-k00173305;Mathis;Albert;Albert;Mathis Albert;Borussia Dortmund;FORWARD;1000000;2;0.0
pl-k00173662;Alessandro;Vogt;Vogt;Alessandro Vogt;TSG Hoffenheim;FORWARD;2000000;0;0.0
pl-k00173877;Axel;Tape;Tape;Axel Tape;Bayer 04 Leverkusen;DEFENDER;1700000;8;4.0
pl-k00174580;Christian;Kofane;Kofane;Christian Kofane;Bayer 04 Leverkusen;FORWARD;3000000;117;3.36
pl-k00174671;Keisuke;Goto;Goto;Keisuke Goto;SC Freiburg;FORWARD;1800000;0;0.0
pl-k00176078;Enzo;Duarte;Duarte;Enzo Duarte;Borussia Dortmund;MIDFIELDER;800000;0;0.0
pl-k00176357;Love;Arrhov;Arrhov;Love Arrhov;Eintracht Frankfurt;MIDFIELDER;1400000;6;5.0
pl-k00176506;Otavio Manoel;Galdino Fernandes;Otavio;Otavio;Eintracht Frankfurt;DEFENDER;1800000;0;0.0
pl-k00177491;Linus;Güther;Güther;Linus Güther;1. FC Union Berlin;MIDFIELDER;500000;2;0.0
pl-k00177492;Niko;Ilicevic;Ilicevic;Niko Ilicevic;Eintracht Frankfurt;MIDFIELDER;500000;0;0.0
pl-k00177496;Filip;Pavic;Pavic;Filip Pavic;Bayern München;MIDFIELDER;600000;0;0.0
pl-k00177679;Gil;Neves;Neves;Gil Neves;1. FC Köln;MIDFIELDER;500000;0;0.0
pl-k00177748;Raif;Adam;Adam;Raif Adam;SV Elversberg;MIDFIELDER;600000;0;0.0
pl-k00178213;Benno;Kaltefleiter;Kaltefleiter;Benno Kaltefleiter;RB Leipzig;MIDFIELDER;500000;0;0.0
pl-k00178690;Niklas;Mohr;Mohr;Niklas Mohr;SC Paderborn 07;DEFENDER;500000;0;0.0
pl-k00178704;Uchenna;Ogundu;Ogundu;Uchenna Ogundu;FC Augsburg;FORWARD;1200000;12;0.0
pl-k00179095;Lasse;Eickel;Eickel;Lasse Eickel;SC Paderborn 07;FORWARD;500000;0;0.0
pl-k00179096;Samba;Konaté;Konaté;Samba Konaté;RB Leipzig;FORWARD;800000;2;0.0
pl-k00179097;Maycon;Cardozo;Cardozo;Maycon Cardozo;Bayern München;MIDFIELDER;1000000;4;3.5
pl-k00179378;Kenny;Quetant;Quetant;Kenny Quetant;Werder Bremen;FORWARD;1000000;0;0.0
pl-k00181848;Paul;Okon-Engstler;Okon-Engstler;Paul Okon-Engstler;1. FC Köln;MIDFIELDER;1800000;0;0.0
pl-k00181962;Suleman;Sani;Sani;Suleman Sani;RB Leipzig;FORWARD;800000;0;0.0
pl-k00183941;Ramiz;Hamouda;Hamouda;Ramiz Hamouda;Werder Bremen;DEFENDER;500000;0;0.0
pl-k00185303;Alynho;Haidara;Haidara;Alynho Haidara;1. FSV Mainz 05;FORWARD;500000;0;0.0
pl-k00186518;Martin;James;James;Martin James;1. FC Köln;GOALKEEPER;500000;0;0.0
pl-k00187446;Keito;Kumashiro;Kumashiro;Keito Kumashiro;Eintracht Frankfurt;FORWARD;500000;0;0.0
pl-k00187691;Bara;Sapoko Ndiaye;Sapoko Ndiaye;Bara Sapoko Ndiaye;Bayern München;MIDFIELDER;1800000;2;4.75
pl-k00190115;Malik;Pimpong;Pimpong;Malik Pimpong;Eintracht Frankfurt;FORWARD;800000;0;0.0
pl-k00190265;Kaua;Prates de Almeida;Kaua Prates;Kaua Prates;Borussia Dortmund;DEFENDER;1200000;0;0.0
pl-k00190392;Takato;Yamamoto;Yamamoto;Takato Yamamoto;Borussia Dortmund;MIDFIELDER;800000;0;0.0
pl-k00203935;Elias;Lahti;Lahti;Elias Lahti;Hamburger SV;GOALKEEPER;500000;0;0.0
